x,y,,,,,,,,,,,,,,,,,,
-332.78,85.13,,,,,,,,,,,,,,,,,,
-322.09,92.13,,,,,,,,,,,,,,,,,,
-311.52,88.61,,,,,,,,,,,,,,,,,,
-308.26,86.77,,,,,,,,,,,,,,,,,,
-291.72,80.56,,,,,,,,,,,,,,,,,,
-282.79,72.67,,,,,,,,,,,,,,,,,,
-256.87,67.93,,,,,,,,,,,,,,,,,,
-235.8,52.78,,,,,,,,,,,,,,,,,,
-214.41,41.24,,,,,,,,,,,,,,,,,,
-194.8,15.83,,,,,,,,,,,,,,,,,,
-180.94,8.45,,,,,,,,,,,,,,,,,,
-157.89,17.31,,,,,,,,,,,,,,,,,,
-146.44,22.1,,,,,,,,,,,,,,,,,,
-143.46,33.17,,,,,,,,,,,,,,,,,,
-134.57,37.99,,,,,,,,,,,,,,,,,,
-131.26,47.6,,,,,,,,,,,,,,,,,,
-123.38,53.78,,,,,,,,,,,,,,,,,,
-121.16,62.38,,,,,,,,,,,,,,,,,,
-111.33,69.27,,,,,,,,,,,,,,,,,,
-110.43,82.78,,,,,,,,,,,,,,,,,,
-105.83,87.94,,,,,,,,,,,,,,,,,,
-99.58,90.12,,,,,,,,,,,,,,,,,,
-91.99,91.53,,,,,,,,,,,,,,,,,,
-75.01,90.12,,,,,,,,,,,,,,,,,,
-69.9,89.25,,,,,,,,,,,,,,,,,,
-65.23,89.01,,,,,,,,,,,,,,,,,,
-60.43,89.25,,,,,,,,,,,,,,,,,,
-56.06,90.43,,,,,,,,,,,,,,,,,,
-41.25,92.97,,,,,,,,,,,,,,,,,,
-31.77,96.95,,,,,,,,,,,,,,,,,,
-9.46,94.15,,,,,,,,,,,,,,,,,,
5.83,97.49,,,,,,,,,,,,,,,,,,
15.67,96.95,,,,,,,,,,,,,,,,,,
29.2,90.43,,,,,,,,,,,,,,,,,,
49.51,92.47,,,,,,,,,,,,,,,,,,
29.3,86.54,,,,,,,,,,,,,,,,,,
49.61,88.61,,,,,,,,,,,,,,,,,,
56.85,89.25,,,,,,,,,,,,,,,,,,
95.28,87.06,,,,,,,,,,,,,,,,,,
102.8,83.58,,,,,,,,,,,,,,,,,,
119.46,85.13,,,,,,,,,,,,,,,,,,
128.17,82.5,,,,,,,,,,,,,,,,,,
136.22,86.43,,,,,,,,,,,,,,,,,,
144.93,83.06,,,,,,,,,,,,,,,,,,
153.06,87.06,,,,,,,,,,,,,,,,,,
165.8,84.9,,,,,,,,,,,,,,,,,,
