,x,y,z,L,R,kx,ky,kz,dist,t
2,329.5212268,395.6979789,0,4.776215147225274,228041.786134099,1.042881669621179e-09,-4.385161108730465e-06,0,4.776215147225274,0
3,334.2275679,395.6990496,0,4.70634122179294,235540.18631682225,9.234561752414693e-10,-4.245559927508021e-06,0,4.70634122179294,0
4,338.8556963,395.7000108,0,4.6281284998141325,243753.251545713,8.130889322210361e-10,-4.102509295849188e-06,0,4.6281284998141325,0
5,343.3972728,395.7008686,0,4.5415765810094255,251126.7699279731,7.161113998268566e-10,-3.982052507251805e-06,0,4.5415765810094255,0
6,347.8439585,395.7016289,0,4.446685764998521,257449.63476688587,6.30590307372689e-10,-3.8842548280462135e-06,0,4.446685764998521,0
7,352.1874144,395.7022974,0,4.343455951444355,264393.8186062861,5.510556603804685e-10,-3.782236644781394e-06,0,4.343455951444355,0
8,356.4193014,395.7028801,0,4.231887040116744,270200.3765375897,4.806125614769214e-10,-3.70095706150451e-06,0,4.231887040116744,0
9,360.5312805,395.7033828,0,4.111979130728168,276494.54722756403,4.1525828836198583e-10,-3.6167078281856155e-06,0,4.111979130728168,0
10,364.5150127,395.7038115,0,3.9837322230667924,282075.06495331356,3.564695780171658e-10,-3.545155595763989e-06,0,3.9837322230667924,0
11,368.362159,395.7041721,0,3.847146316899866,286861.3315434359,3.0337385445760084e-10,-3.4860048610692584e-06,0,3.847146316899866,0
12,372.0643804,395.7044704,0,3.702221412017485,292094.486900491,2.5415021756810476e-10,-3.4235497145318986e-06,0,3.702221412017485,0
13,375.6133379,395.7047123,0,3.548957508244028,297527.5502240501,2.0904544459649322e-10,-3.3610332801541923e-06,0,3.548957508244028,0
14,379.0006923,395.7049037,0,3.387354405407508,302731.327593156,1.6816766015882498e-10,-3.303259053678173e-06,0,3.387354405407508,0
15,382.2181048,395.7050504,0,3.217412503344407,312007.4569337011,1.296111938423512e-10,-3.205051600400719e-06,0,3.217412503344407,0
16,385.2572363,395.7051585,0,3.039131501922521,319967.09091082343,9.632315897405008e-11,-3.1253214093938233e-06,0,3.039131501922521,0
17,388.1097478,395.7052337,0,2.8525115009912305,334928.00240131764,6.599728334322202e-11,-2.9857163109266644e-06,0,2.8525115009912305,0
18,390.7673002,395.7052819,0,2.6575524004371442,360243.1608306338,4.010745377487978e-11,-2.7759028029563775e-06,0,2.6575524004371442,0
19,393.2215546,395.705309,0,2.454254400149588,412646.296729743,1.955246179582145e-11,-2.423382950222834e-06,0,2.454254400149588,0
20,395.4641719,395.705321,0,2.2426173000321117,531032.8767313762,6.100053675456486e-12,-1.8831225783043277e-06,0,2.2426173000321117,0
21,397.4868136,395.7053237,0,2.0226417000018104,53930.02077883179,-3.229662671792399e-10,-1.8542548016981786e-05,0,2.0226417000018104,0
22,399.2948624,395.7052619,0,1.8080488010561717,21633.726975898175,-3.511564424357989e-09,-4.622412024652525e-05,0,1.8080488010561717,0
23,400.9140415,395.7050783,0,1.6191791104092714,15875.467286372712,-1.0354785382664147e-08,-6.299027099169763e-05,0,1.6191791104092714,0
24,402.366857,395.704773,0,1.4528155320784184,11904.857700238625,-2.2777377512502506e-08,-8.399932098438205e-05,0,1.4528155320784184,0
25,403.6758151,395.7043461,0,1.3089581696140358,9203.470524093938,-4.3163004213949235e-08,-0.00010865465570607529,0,1.3089581696140358,0
26,404.8634219,395.7037977,0,1.187606926617021,7422.943830316882,-7.298514345006871e-08,-0.00013471742156546102,0,1.187606926617021,0
27,405.9521838,395.703128,0,1.08876210596701,6321.576927592888,-1.1092437469691464e-07,-0.00015818833901751298,0,1.08876210596701,0
28,406.9646068,395.702337,0,1.0124233090017363,5793.595131331792,-1.4993593009411223e-07,-0.00017260433289509894,0,1.0124233090017363,0
29,407.9231972,395.701425,0,0.9585908338369106,5797.888432206489,-1.7835178198417386e-07,-0.00017247649330419886,0,0.9585908338369106,0
30,408.8504612,395.700392,0,0.9272645753963441,6488.675425941551,-1.827001365241897e-07,-0.00015411455060891646,0,0.9272645753963441,0
31,409.7689048,395.6992382,0,0.9184443247336118,8332.675268549028,-1.5737630763398613e-07,-0.00012000937369227459,0,0.9184443247336118,0
32,410.7010344,395.6979637,0,0.9321304713110224,12920.458466474192,-1.0861609215597228e-07,-7.739655816943565e-05,0,0.9321304713110224,0
33,411.669356,395.6965685,0,0.9683226051319556,28601.180416542193,-5.0968879749476724e-08,-3.4963554751544185e-05,0,0.9683226051319556,0
34,412.696376,395.6950529,0,1.027021118304461,2546832.675689472,-5.795142808777737e-10,-3.9264413416953234e-07,0,1.027021118304461,0
35,413.8046004,395.693417,0,1.1082256074122538,42874.608584503614,3.412787909208048e-08,2.3323803120508736e-05,0,1.1082256074122538,0
36,415.0165355,395.6916608,0,1.211936372443011,27126.059512585012,5.259691438433306e-08,3.6864881968278275e-05,0,1.211936372443011,0
37,416.3546874,395.6897846,0,1.3381532152934086,23752.39027012532,5.7843139112576924e-08,4.21009862505963e-05,0,1.3381532152934086,0
38,417.8415624,395.6877883,0,1.4868763401301008,23661.378869035274,5.541492185229991e-08,4.226292752930577e-05,0,1.4868763401301008,0
39,419.4996665,395.6856723,0,1.6581054501728227,25502.32272476381,4.876600432425616e-08,3.921208422715555e-05,0,1.6581054501728227,0
40,421.3515061,395.6834365,0,1.8518409496848858,30273.680391498172,3.8870534260635196e-08,3.30319701698856e-05,0,1.8518409496848858,0
