,x,y,z,L,R,kx,ky,kz,dist,t,delta_t,delta_vel,vel,ay,ax,time
0,329.5212268,395.6979789,0.0,4.776215147225274,228041.786134099,1.042881669621179e-09,-4.385161108730465e-06,0.0,4.776215147225274,0.0,0.07016863724401354,2.2594296986101075,69.19737776565675,0.0006102032056724258,0.9999998138260066,0.07016863724401354
1,334.2275679,395.6990496,0.0,4.70634122179294,235540.18631682225,9.234561752414693e-10,-4.245559927508021e-06,0.0,4.70634122179294,0.0,0.06723344602561343,0.0,70.0,0.0006460634825124532,0.0,0.13740208326962697
2,338.8556963,395.7000108,0.0,4.6281284998141325,243753.251545713,8.130889322210361e-10,-4.102509295849188e-06,0.0,4.6281284998141325,0.0,0.06611612142591618,0.0,70.0,0.0006242949051079216,0.0,0.20351820469554316
3,343.3972728,395.7008686,0.0,4.5415765810094255,251126.7699279731,7.161113998268566e-10,-3.982052507251805e-06,0.0,4.5415765810094255,0.0,0.0648796654429918,0.0,70.0,0.0006059645217717091,0.0,0.26839787013853494
4,347.8439585,395.7016289,0.0,4.446685764998521,257449.63476688587,6.30590307372689e-10,-3.8842548280462135e-06,0.0,4.446685764998521,0.0,0.06352408235712173,0.0,70.0,0.0005910822642310908,0.0,0.3319219524956567
5,352.1874144,395.7022974,0.0,4.343455951444355,264393.8186062861,5.510556603804685e-10,-3.782236644781394e-06,0.0,4.343455951444355,0.0,0.062049370734919354,0.0,70.0,0.0005755577564015721,0.0,0.39397132323057604
6,356.4193014,395.7028801,0.0,4.231887040116744,270200.3765375897,4.806125614769214e-10,-3.70095706150451e-06,0.0,4.231887040116744,0.0,0.060455529144524914,0.0,70.0,0.0005631891228038617,0.0,0.45442685237510094
7,360.5312805,395.7033828,0.0,4.111979130728168,276494.54722756403,4.1525828836198583e-10,-3.6167078281856155e-06,0.0,4.111979130728168,0.0,0.058742559010402394,0.0,70.0,0.0005503685861777019,0.0,0.5131694113855033
8,364.5150127,395.7038115,0.0,3.9837322230667924,282075.06495331356,3.564695780171658e-10,-3.545155595763989e-06,0.0,3.9837322230667924,0.0,0.056910460329525604,0.0,70.0,0.0005394802020826075,0.0,0.5700798717150289
9,368.362159,395.7041721,0.0,3.847146316899866,286861.3315434359,3.0337385445760084e-10,-3.4860048610692584e-06,0.0,3.847146316899866,0.0,0.05495923309856951,0.0,70.0,0.0005304790026063043,0.0,0.6250391048135985
10,372.0643804,395.7044704,0.0,3.702221412017485,292094.486900491,2.5415021756810476e-10,-3.4235497145318986e-06,0.0,3.702221412017485,0.0,0.052888877314535496,0.0,70.0,0.0005209749579947393,0.0,0.677927982128134
11,375.6133379,395.7047123,0.0,3.548957508244028,297527.5502240501,2.0904544459649322e-10,-3.3610332801541923e-06,0.0,3.548957508244028,0.0,0.05069939297491469,0.0,70.0,0.0005114615870996995,0.0,0.7286273751030486
12,379.0006923,395.7049037,0.0,3.387354405407508,302731.327593156,1.6816766015882498e-10,-3.303259053678173e-06,0.0,3.387354405407508,0.0,0.04839077722010726,0.0,70.0,0.0005026698566459116,0.0,0.7770181523231559
13,382.2181048,395.7050504,0.0,3.217412503344407,312007.4569337011,1.296111938423512e-10,-3.205051600400719e-06,0.0,3.217412503344407,0.0,0.045963035762062954,0.0,70.0,0.0004877252439380444,0.0,0.8229811880852188
14,385.2572363,395.7051585,0.0,3.039131501922521,319967.09091082343,9.632315897405008e-11,-3.1253214093938233e-06,0.0,3.039131501922521,0.0,0.04341616431317887,0.0,70.0,0.0004755923886118962,0.0,0.8663973523983977
15,388.1097478,395.7052337,0.0,2.8525115009912305,334928.00240131764,6.599728334322202e-11,-2.9857163109266644e-06,0.0,2.8525115009912305,0.0,0.04075016429987472,0.0,70.0,0.00045434813438244656,0.0,0.9071475166982724
16,390.7673002,395.7052819,0.0,2.6575524004371442,360243.1608306338,4.010745377487978e-11,-2.7759028029563775e-06,0.0,2.6575524004371442,0.0,0.0379650342919592,0.0,70.0,0.00042241999179832293,0.0,0.9451125509902316
17,393.2215546,395.705309,0.0,2.454254400149588,412646.296729743,1.955246179582145e-11,-2.423382950222834e-06,0.0,2.454254400149588,0.0,0.035060777144994115,0.0,70.0,0.00036877566635026035,0.0,0.9801733281352257
