,x,y,z,t,curvature,L,R,kx,ky,kz,delta_time,delta_velocity,velocity,ay,ax,delta_position,position,max_velocity
2,101.89759904527608,120.20838330903986,0,1.1,3394.0594227510537,1.452389192886128,97723.09787741237,9.147737097798242e-07,-1.0192025392503682e-05,0,(0.05663831876285042+0j),0j,(25.481279999999998+0j),(0.0066442391260754085+0j),(5.718592340508578+0j),1.452389192886128,0,25.481279999999998
3,103.333768495157,120.3372743924414,0,1.15,2222.073021040176,1.4419416077468918,63399.79193393657,1.4097182907794633e-06,-1.5709798731937685e-05,0,(0.11217459995324049+0j),0j,(25.481279999999998+0j),(0.010241289610460783+0j),(5.718510298003345+0j),2.89433080063302,0,25.481279999999998
4,104.75433218464008,120.46473252257556,0,1.2000000000000002,1624.3537207265097,1.426270230641817,45753.18078364881,1.9528504326474323e-06,-2.1768986371951428e-05,0,(0.16645097743684736+0j),0j,(25.481279999999998+0j),(0.01419126756473386+0j),(5.718420205832443+0j),4.320601031274837,0,25.481279999999998
5,106.15408819359271,120.59028004835324,0,1.2500000000000002,1256.7123639956358,1.4053750623331511,34808.33141752503,2.5658717842514765e-06,-2.861394108039501e-05,0,(0.21931598271875846+0j),0j,(25.481279999999998+0j),(0.018653454618381898+0j),(5.7183184310571695+0j),5.725976093607988,0,25.481279999999998
6,107.5278346018823,120.71343931868536,0,1.3000000000000005,1004.5075894389294,1.3792561039043088,27246.839811477574,3.276298233356232e-06,-3.655497592481321e-05,0,(0.2706237543359165+0j),0j,(25.481279999999998+0j),(0.023830126169893946+0j),(5.71820036012525+0j),7.105232197512297,0,25.481279999999998
7,108.8703694893762,120.8337326824828,0,1.3500000000000003,818.6831203350296,1.3479133568267496,21651.635522848435,4.120387737983087e-06,-4.600172386554696e-05,0,(0.3202332802869928+0j),0j,(25.481279999999998+0j),(0.029988294868219738+0j),(5.718059902939605+0j),8.453145554339047,0,25.481279999999998
8,110.1764909359418,120.95068248865638,0,1.4000000000000004,674.7770867202994,1.3113468230573664,17318.079397218946,5.147525859697582e-06,-5.7513227228948815e-05,0,(0.36800767267554846+0j),0j,(25.481279999999998+0j),(0.037492357873279425+0j),(5.717888748230759+0j),9.764492377396413,0,25.481279999999998
9,111.44099702144656,121.06381108611704,0,1.4500000000000004,559.2584660789271,1.2695565051788735,13857.5707867286,6.427037574598155e-06,-7.187594409780507e-05,0,(0.41381347341401636+0j),0j,(25.481279999999998+0j),(0.046854938750176225+0j),(5.717675203941091+0j),11.034048882575288,0,25.481279999999998
10,112.65868582575774,121.17264082377564,0,1.5000000000000004,464.0616596189533,1.222542406603399,11038.907912875446,8.059133975728859e-06,-9.022947257075154e-05,0,(0.4575199903073904+0j),0j,(25.481279999999998+0j),(0.05881882841699235+0j),(5.717402328293432+0j),12.256591289178687,0,25.481279999999998
11,113.82435542874282,121.27669405054309,0,1.5500000000000005,384.10220876133553,1.1703045318736929,8716.10355595932,1.0193129327401118e-05,-0.00011427646694873445,0,(0.4989986646385573+0j),0j,(25.481279999999998+0j),(0.07449379487861495+0j),(5.717044809397455+0j),13.42689582105238,0,25.481279999999998
