timestamp(ms),GPS.Lat,GPS.Lng,x,y,Accel X,Accel Y,Accel Z,Accel Magnitude
14630.761,301398833,-976294508,46,133,1.221505761,-0.304418594,-9.327178001,9.411747791
14730.761,301398833,-976294508,46,133,1.226359248,-0.285434633,-9.712444305,9.7937227
14830.761,301398843,-976294513,56,128,1.299430966,-0.10033676,-9.86280632,9.948544457
14930.761,301398843,-976294513,56,128,1.227411389,-0.187407672,-9.889844894,9.967481748
15030.761,301398846,-976294514,59,127,1.200989127,-0.253709525,-9.878081322,9.954056158
15130.761,301398846,-976294514,59,127,1.209858179,-0.142845243,-9.854886055,9.929901346
15230.761,301398848,-976294514,61,127,1.171259761,-0.159282312,-10.07144356,10.14057176
15330.761,301398848,-976294514,61,127,0.749709845,0.778528214,-9.783576012,9.84309558
15430.761,301398855,-976294511,68,130,0.927183747,1.22044158,-10.05597782,10.17211076
15530.761,301398855,-976294511,68,130,1.0574857,-0.01015294,-10.30131245,10.3554535
15630.761,301398864,-976294512,77,129,0.689451396,-1.120357156,-9.868585587,9.95587891
15730.761,301398864,-976294512,77,129,0.617586315,-1.207733631,-9.458287239,9.555063102
15830.761,301398868,-976294506,81,135,0.750367582,-1.115584254,-9.974246979,10.06445143
15930.761,301398868,-976294506,81,135,-0.179116562,-0.676179945,-9.986232758,10.01070161
16030.761,301398872,-976294501,85,140,0.250991762,-0.099316522,-10.00269222,10.00633361
16130.761,301398872,-976294501,85,140,-0.126556054,-0.444026411,-9.916190147,9.926933209
16230.761,301398875,-976294498,88,143,0.024725597,-0.458144635,-9.970856667,9.981407242
16330.761,301398875,-976294498,88,143,0.025848527,-0.265361339,-9.998046875,10.00160118
16430.761,301398878,-976294494,91,147,0.218158737,-0.432143539,-9.892725945,9.904562983
16530.761,301398878,-976294494,91,147,0.021528659,-0.411904722,-9.935011864,9.94357027
16630.761,301398882,-976294495,95,146,0.046263382,-0.424471349,-9.960079193,9.96922734
16730.761,301398882,-976294495,95,146,0.040117476,-0.460104644,-9.944660187,9.955379045
16830.761,301398885,-976294495,98,146,0.040916119,-0.423164666,-9.960093498,9.969162701
16930.761,301398885,-976294495,98,146,0.02781689,-0.455803961,-9.953279495,9.963749482
17030.761,301398887,-976294497,100,144,0.049869884,-0.437701285,-9.949438095,9.959186103
17130.761,301398887,-976294497,100,144,0.07664948,-0.426483661,-10.11524487,10.12452182
17230.761,301398889,-976294500,102,141,0.048779361,-0.443122685,-9.968174934,9.978138537
17330.761,301398889,-976294500,102,141,0.018268909,-0.476774335,-9.977044106,9.988446156
17430.761,301398894,-976294499,107,142,0.036167894,-0.435352385,-9.933692932,9.943293976
17530.761,301398894,-976294499,107,142,0.070679732,-0.412752807,-9.954753876,9.96355786
17630.761,301398896,-976294504,109,137,-0.022681484,-0.504573762,-9.963289261,9.976083501
17730.761,301398896,-976294504,109,137,0.03900085,-0.397959083,-10.00902939,10.01701362
17830.761,301398895,-976294505,108,136,0.038973894,-0.492278725,-9.923482895,9.935762179
17930.761,301398895,-976294505,108,136+E85:E96,0.019957751,-0.454846829,-9.970718384,9.981107606
