x,y,z,curvature
0.3048,0,0,0.00E+00
0.6096,0,0,0.00E+00
0.9144,0,0,0.00E+00
1.2192,0,0,0.00E+00
1.524,0,0,0.00E+00
1.8288,0,0,0.00E+00
2.1336,0,0,0.00E+00
2.4384,0,0,0.00E+00
2.7432,0,0,0.00E+00
3.048,0,0,0.00E+00
3.3528,0,0,0.00E+00
3.6576,0,0,0.00E+00
3.9624,0,0,0.00E+00
4.2672,0,0,0.00E+00
4.572,0,0,0.00E+00
4.8768,0,0,0.00E+00
5.1816,0,0,0.00E+00
5.4864,0,0,0.00E+00
5.7912,0,0,0.00E+00
6.096,0,0,0.00E+00
6.4008,0,0,0.00E+00
6.7056,0,0,0.00E+00
7.0104,0,0,0.00E+00
7.3152,0,0,0.00E+00
7.62,0,0,0.00E+00
7.9248,0,0,0.00E+00
8.2296,0,0,0.00E+00
8.5344,0,0,0.00E+00
8.8392,0,0,0.00E+00
9.144,0,0,0.00E+00
9.4488,0,0,0.00E+00
9.7536,0,0,0.00E+00
10.0584,0,0,0.00E+00
10.3632,0,0,0.00E+00
10.668,0,0,0.00E+00
10.9728,0,0,0.00E+00
11.2776,0,0,0.00E+00
11.5824,0,0,0.00E+00
11.8872,0,0,0.00E+00
12.192,0,0,0.00E+00
12.4968,0,0,0.00E+00
12.8016,0,0,0.00E+00
13.1064,0,0,0.00E+00
13.4112,0,0,0.00E+00
13.716,0,0,0.00E+00
14.0208,0,0,0.00E+00
14.3256,0,0,0.00E+00
14.6304,0,0,0.00E+00
14.9352,0,0,0.00E+00
15.24,0,0,0.00E+00
15.5448,0,0,0.00E+00
15.8496,0,0,0.00E+00
16.1544,0,0,0.00E+00
16.4592,0,0,0.00E+00
16.764,0,0,0.00E+00
17.0688,0,0,0.00E+00
17.3736,0,0,0.00E+00
17.6784,0,0,0.00E+00
17.9832,0,0,0.00E+00
18.288,0,0,0.00E+00
18.5928,0,0,0.00E+00
18.8976,0,0,0.00E+00
19.2024,0,0,0.00E+00
19.5072,0,0,0.00E+00
19.812,0,0,0.00E+00
20.1168,0,0,0.00E+00
20.4216,0,0,0.00E+00
20.7264,0,0,0.00E+00
21.0312,0,0,0.00E+00
21.336,0,0,0.00E+00
21.6408,0,0,0.00E+00
21.9456,0,0,0.00E+00
22.2504,0,0,0.00E+00
22.5552,0,0,0.00E+00
22.86,0,0,0.00E+00
