x,y,z,t,curvature
99.02104539227025,119.10039332218906,0,1.0,0.0
100.47317869997075,119.22599480326082,0,1.05,0.00011491229351483399
101.92009964969024,119.35138960814334,0,1.1,0.00023356639010457686
103.35659588344775,119.47637106064745,0,1.1500000000000001,0.0003599778265757443
104.7774550432623,119.60073248458393,0,1.2000000000000002,0.0004987451711071702
106.17746477115283,119.72426720376353,0,1.2500000000000002,0.0006554377119836691
107.55141270913839,119.84676854199708,0,1.3000000000000003,0.0008371210552780908
108.89408649923799,119.96802982309535,0,1.3500000000000003,0.0010531114906760823
110.2002737834706,120.08784437086912,0,1.4000000000000004,0.001316106545291874
111.46476220385527,120.20600550912918,0,1.4500000000000004,0.0016439418686632064
112.68233940241097,120.32230656168632,0,1.5000000000000004,0.0020624158299242744
113.84779302115672,120.43654085235133,0,1.5500000000000005,0.002609991739916155
114.95591070211152,120.54850170493499,0,1.6000000000000005,0.0033459280815373695
116.00148008729438,120.65798244324807,0,1.6500000000000006,0.004364949304827906
116.9792888187243,120.7647763911014,0,1.7000000000000006,0.005825058171254855
117.88412453842027,120.86867687230574,0,1.7500000000000007,0.008003417981933365
118.71077488840132,120.96947721067187,0,1.8000000000000007,0.011416754716327667
119.45402751068644,121.06697073001058,0,1.8500000000000008,0.017103972965723125
120.10867004729462,121.16095075413267,0,1.9000000000000008,0.027365085949922246
120.66949014024492,121.2512106068489,0,1.9500000000000008,0.04798459135232211
121.13127543155629,121.33754361197009,0,2.000000000000001,0.09633318302594417
121.49224735951888,121.41974769114034,0,2.0500000000000007,0.16934534236792825
121.76436254750745,121.49763915733712,0,2.100000000000001,0.3076631425324486
121.96301141516784,121.5710389213712,0,2.1500000000000012,0.5596432472303592
122.10358438214594,121.63976789405336,0,2.200000000000001,0.9373336451549432
122.20147186808762,121.70364698619444,0,2.250000000000001,1.1858894520412067
122.27206429263873,121.7624971086052,0,2.300000000000001,0.5893375560597087
122.33075207544515,121.81613917209643,0,2.3500000000000014,1.067135269608611
122.39292563615275,121.86439408747891,0,2.4000000000000012,2.1987362017033116
122.4739753944074,121.90708276556343,0,2.450000000000001,1.7225828726081058
122.58929176985498,121.94402611716082,0,2.5000000000000013,0.8796744291271223
122.75426518214135,121.97504505308184,0,2.5500000000000016,0.3942265533132745
122.98428605091239,121.99996048413728,0,2.6000000000000014,0.17736458221724857
123.29474479581393,122.01859332113791,0,2.6500000000000012,0.08363394195646057
123.70103183649186,122.03076447489457,0,2.7000000000000015,0.04164331017492554
124.2185375925921,122.036294856218,0,2.7500000000000018,0.021803929473952648
124.86265248376047,122.03500537591904,0,2.8000000000000016,0.011916116378271837
125.64876692964285,122.02671694480844,0,2.8500000000000014,0.006744114015218732
126.59227134988511,122.01125047369699,0,2.9000000000000017,0.003922765528346781
127.7085561641331,121.98842687339551,0,2.950000000000002,0.002327630512145098
129.01301179203273,121.95806705471477,0,3.0000000000000018,0.0013982420014234946
130.51508947429332,121.91999462948185,0,3.0500000000000016,0.001198093014254177
132.2004837358785,121.87404401358901,0,3.100000000000002,0.0010964879835050974
134.04894992281515,121.82005232394475,0,3.150000000000002,0.0010506965766828066
136.0402433811303,121.75785667745764,0,3.200000000000002,0.0010418467180790252
138.15411945685105,121.68729419103617,0,3.2500000000000018,0.0010613766321985044
140.37033349600432,121.60820198158892,0,3.300000000000002,0.0011059721093488325
142.6686408446172,121.52041716602437,0,3.3500000000000023,0.0011755484213324828
145.02879684871664,121.42377686125111,0,3.400000000000002,0.0012725276033346304
147.43055685432967,121.31811818417762,0,3.450000000000002,0.0014018079777083426
149.85367620748332,121.20327825171246,0,3.500000000000002,0.001571254401805057
152.2779102542046,121.07909418076416,0,3.5500000000000025,0.0017927615227776496
154.68301434052051,120.94540308824124,0,3.6000000000000023,0.002084140209403784
157.04874381245807,120.80204209105226,0,3.650000000000002,0.002472363666847079
159.35485401604438,120.6488483061057,0,3.7000000000000024,0.0029992393123180125
161.5811002973063,120.48565885031016,0,3.7500000000000027,0.0037316639861014606
163.7072380022709,120.31231084057411,0,3.8000000000000025,0.004781036498897391
165.71302247696528,120.12864139380612,0,3.8500000000000023,0.0063421362251016
167.57820906741637,119.93448762691472,0,3.9000000000000026,0.008776501140365127
169.28255311965117,119.72968665680843,0,3.950000000000003,0.01280686609454499
170.80580997969676,119.51407560039577,0,4.000000000000003,0.020020601110696576
172.13362938221394,119.28791639052606,0,4.0500000000000025,0.02718883912609463
173.27523861639918,119.05317022381153,0,4.100000000000003,0.03752807738228993
174.24575936008262,118.8122231128052,0,4.150000000000003,0.05262457221714298
175.06031329109442,118.56746107006009,0,4.200000000000003,0.07483064136507278
175.73402208726492,118.32127010812923,0,4.250000000000003,0.10743280266143575
176.2820074264243,118.07603623956558,0,4.3000000000000025,0.15440891007858532
176.71939098640274,117.83414547692222,0,4.350000000000003,0.21888271245173838
177.0612944450305,117.59798383275212,0,4.400000000000003,0.29878324705808945
177.32283948013782,117.36993731960831,0,4.450000000000003,0.3791259238071557
177.51914776955485,117.15239195004378,0,4.5000000000000036,0.4253809106637856
177.66534099111183,116.94773373661158,0,4.550000000000003,0.3872951480327931
177.77654082263905,116.75834869186471,0,4.600000000000003,0.21143227957422223
177.86786894196663,116.58662282835617,0,4.650000000000003,0.15526599187051382
177.95444702692487,116.43494215863899,0,4.700000000000003,0.74680110423178
178.05139675534397,116.30569269526616,0,4.7500000000000036,1.409369432590937
178.1738398050541,116.20126045079071,0,4.800000000000003,1.606118560715403
178.33689785388552,116.12403143776567,0,4.850000000000003,1.158647765811264
