x,y,z
-187.56119484708282,-17.461355212877223,0
-187.8736878144237,-17.158690362042165,0
-188.18613042176898,-16.856067269424035,0
-188.4984723091231,-16.55352769323976,0
-188.81066311649042,-16.25111339170628,0
-189.12265248387533,-15.948866123040514,0
-189.43439005128226,-15.64682764545939,0
-189.74582545871561,-15.345039717179844,0
-190.05690834617982,-15.0435440964188,0
-190.36758835367925,-14.742382541393189,0
-190.6778151212183,-14.441596810319943,0
-190.98753828880137,-14.141228661415985,0
-191.2967074964329,-13.84131985289825,0
-191.6052723841173,-13.541912142983662,0
-191.91318259185894,-13.243047289889152,0
-192.2203877596622,-12.94476705183165,0
-192.52683752753154,-12.647113187028085,0
-192.83248153547135,-12.350127453695388,0
-193.13726942348598,-12.053851610050485,0
-193.44115083157993,-11.758327414310305,0
-193.74407539975752,-11.463596624691778,0
-194.0459927680232,-11.169700999411834,0
-194.34685257638134,-10.8766822966874,0
-194.64660446483637,-10.584582274735409,0
-194.94519807339273,-10.293442691772787,0
-195.24258304205475,-10.003305306016463,0
-195.53870901082684,-9.71421187568337,0
-195.83352561971344,-9.42620415899043,0
-196.12698250871892,-9.139323914154577,0
-196.41902931784776,-8.85361289939274,0
-196.70961568710428,-8.569112872921847,0
-196.99869125649292,-8.285865592958828,0
-197.28620566601805,-8.003912817720613,0
-197.5721085556841,-7.723296305424128,0
-197.85634956549552,-7.444057814286304,0
-198.13887833545664,-7.166239102524069,0
-198.4196445055719,-6.889881928354353,0
-198.6985977158457,-6.615028049994088,0
-198.9756876062824,-6.3417192256601975,0
-199.2508638168865,-6.069997213569614,0
-199.52407598766231,-5.799903771939268,0
-199.79527375861426,-5.5314806589860845,0
-200.06440676974677,-5.264769632926995,0
-200.33142466106426,-4.999812451978928,0
-200.59627707257113,-4.7366508743588165,0
-200.85891364427172,-4.475326658283582,0
-201.1192840161705,-4.215881561970159,0
-201.37733782827183,-3.958357343635477,0
-201.63302472058015,-3.7027957614964615,0
-201.88629433309984,-3.4492385737700437,0
-202.13709630583534,-3.1977275386731523,0
-202.38538027879102,-2.9483044144227186,0
-202.63109589197128,-2.701010959235669,0
-202.87419278538053,-2.455888931328934,0
-203.11462059902323,-2.2129800889194406,0
-203.35232897290368,-1.9723261902241198,0
-203.58726754702636,-1.7339689934599005,0
-203.81938596139562,-1.4979502568437117,0
-204.04863385601593,-1.2643117385924825,0
-204.27496087089162,-1.0330951969231457,0
-204.49831664602718,-0.8043423900526231,0
-204.71865082142693,-0.5780950761978474,0
-204.93591303709533,-0.3543950135757479,0
-205.15005293303673,-0.13328396040325385,0
-205.3610201492556,0.08519632510270614,0
-205.56876432575632,0.3010040847252027,0
-205.77323510254325,0.5140975602473032,0
-205.97438211962086,0.7244349934520855,0
-206.17215501699349,0.9319746261226167,0
-206.3665034346656,1.1366747000419677,0
-206.55737701264152,1.3384934569932105,0
-206.74472539092577,1.5373891387594152,0
