x,y,z,t,curvature
-228.428399536455,11.383876304340255,0,1.0,inf
-227.39901099106442,11.091747933756785,0,1.05,573.6845696283137
-226.37154779064443,10.800065305632288,0,1.1,285.267138471906
-225.34793528016553,10.509274162425724,0,1.1500000000000001,188.43437907791747
-224.33009880459832,10.21982024659607,0,1.2000000000000002,139.50504316880367
-223.31996370891335,9.932149300602294,0,1.2500000000000002,109.74520287594508
-222.3194553380812,9.646707066903364,0,1.3000000000000003,89.5788170768632
-221.3304990370724,9.36393928795825,0,1.3500000000000003,74.90352658996433
-220.3550201508575,9.084291706225919,0,1.4000000000000004,63.66960297720025
-219.39494402440712,8.808210064165342,0,1.4500000000000004,54.739598149392556
-218.4521960026918,8.536140104235491,0,1.5000000000000004,47.432204213494956
-217.52870143068208,8.268527568895331,0,1.5500000000000005,41.31491704564935
-216.6263856533485,8.005818200603834,0,1.6000000000000005,36.100368085197246
-215.74717401566167,7.748457741819966,0,1.6500000000000006,31.590503002370777
-214.89299186259217,7.496891935002699,0,1.7000000000000006,27.64468380613895
-214.06576453911046,7.251566522611002,0,1.7500000000000007,24.160550124681127
-213.26741739018718,7.012927247103844,0,1.8000000000000007,21.06205752684347
-212.4998757607929,6.7814198509401935,0,1.8500000000000008,18.291737641585247
-211.76506499589814,6.557490076579021,0,1.9000000000000008,15.80553827864928
-211.06491044047345,6.341583666479296,0,1.9500000000000008,13.56929304434032
-210.40133743948945,6.134146363099985,0,2.000000000000001,11.556250161610434
-209.7756437169857,5.935861479093899,0,2.0500000000000007,39.69848566395829
-209.18661651327812,5.748362607889199,0,2.100000000000001,20.69692150431726
-208.63241544775164,5.573520913107885,0,2.1500000000000012,7.316203880547253
-208.11120013979112,5.413207558371961,0,2.200000000000001,4.110214151464611
-207.62113020878158,5.269293707303426,0,2.250000000000001,2.6859685672748665
-207.1603652741079,5.14365052352428,0,2.300000000000001,1.8919748413069248
-206.72706495515502,5.038149170656526,0,2.3500000000000014,1.3944445783955148
-206.31938887130786,4.954660812322164,0,2.4000000000000012,1.0612656007234864
-205.93549664195143,4.895056612143194,0,2.450000000000001,0.8300042986428254
-205.57354788647055,4.861207733741619,0,2.5000000000000013,0.6676443324252092
-205.23170222425026,4.854985340739439,0,2.5500000000000016,0.5554651739129373
-204.90811927467539,4.878260596758656,0,2.6000000000000014,0.4825813066099657
-204.6009586571309,4.932904665421269,0,2.6500000000000012,0.4430196362723086
-204.30837999100177,5.02078871034928,0,2.7000000000000015,0.4344666819859456
-204.02854289567287,5.143783895164692,0,2.7500000000000018,0.457890202075575
-203.75960699052916,5.303761383489502,0,2.8000000000000016,0.5176181501811078
-203.49973189495563,5.502592338945712,0,2.8500000000000014,0.6216165164639891
-203.2470772283371,5.742147925155328,0,2.9000000000000017,0.7818263708966543
-202.99980261005857,6.024299305740346,0,2.950000000000002,1.014542450911554
-202.75606765950496,6.350917644322765,0,3.0000000000000018,1.3409258925126526
-202.5139460054932,6.722609293556913,0,3.0500000000000016,2.1209507641262912
-202.2711673145686,7.134921362226421,0,3.100000000000002,3.4459423780999328
-202.02537526270828,7.5821361481472325,0,3.150000000000002,6.135023321240118
-201.77421352588948,8.058535949135296,0,3.200000000000002,14.985125186120763
-201.51532578008943,8.558403063006564,0,3.2500000000000018,77.70767819563736
-201.24635570128535,9.076019787576989,0,3.300000000000002,11.740123473291634
-200.9649469654545,9.605668420662523,0,3.3500000000000023,6.371799575747525
-200.66874324857406,10.141631260079103,0,3.400000000000002,4.281130865065724
-200.35538822662133,10.678190603642689,0,3.450000000000002,3.1254496598480417
-200.02252557557344,11.209628749169235,0,3.500000000000002,2.376831979494543
-199.66779897140768,11.730227994474687,0,3.5500000000000025,1.8501448676085779
-199.28885209010127,12.23427063737499,0,3.6000000000000023,1.4630104292479216
-198.88332860763143,12.716038975686097,0,3.650000000000002,1.1723406659285145
-198.44887219997537,13.169815307223958,0,3.7000000000000024,0.9526549181736403
-197.98312654311036,13.589881929804529,0,3.7500000000000027,0.7873888018076176
-197.48373531301357,13.97052114124375,0,3.8000000000000025,0.6650161848746483
-196.94834218566226,14.306015239357578,0,3.8500000000000023,0.5771819475806848
-196.37459083703365,14.590646521961961,0,3.9000000000000026,0.5177462302827818
-195.76012494310496,14.818697286872851,0,3.950000000000003,0.4822603492613105
-195.10258817985346,14.984449831906192,0,4.000000000000003,0.46764553221344196
-194.40032241074744,15.084228940808964,0,4.0500000000000025,0.559685510574507
-193.65446224921985,15.12252934105224,0,4.100000000000003,0.6915514324824312
-192.86684049619464,15.10588824603812,0,4.150000000000003,0.8753795280541355
-192.03928995259588,15.040842869168698,0,4.200000000000003,1.133537690361592
-191.17364341934757,14.933930423846077,0,4.250000000000003,1.509535092253279
-190.27173369737375,14.791688123472351,0,4.3000000000000025,2.098029712007752
-189.33539358759836,14.620653181449619,0,4.350000000000003,3.1472356014709395
-188.36645589094553,14.427362811179984,0,4.400000000000003,5.572731739878279
-187.3667534083392,14.218354226065541,0,4.450000000000003,17.712424521848973
-186.33811894070342,14.00016463950838,0,4.5000000000000036,18.010517928023795
-185.2823852889622,13.779331264910613,0,4.550000000000003,6.252873102294777
-184.20138525403954,13.562391315674335,0,4.600000000000003,3.854279378701472
-183.09695163685947,13.35588200520164,0,4.650000000000003,2.8075899992572446
-181.970917238346,13.166340546894627,0,4.700000000000003,2.214220559059362
-180.8251148594232,13.000304154155396,0,4.7500000000000036,1.8288606409812873
-179.66137730101502,12.864310040386044,0,4.800000000000003,1.5573852715513712
