,power_limit,points,times,endurance_battery_capacity
0,80000,"[257.8186235718399, 125, 75, 85.36519736608234]","[115.90295751572742, 44.293765881932956, 4.145490291355801, 3.888636759108371]",4050826.6825814694
1,77000,"[255.7454235306143, 125, 75, 84.364830993953]","[116.20855298449948, 44.430386515737645, 4.145490291355801, 3.902998392669152]",3888577.841391202
2,74000,"[255.7454235306143, 125, 75, 84.364830993953]","[116.20855298449948, 44.430386515737645, 4.145490291355801, 3.902998392669152]",3888577.841391202
3,71000,"[254.04301395335875, 125, 75, 83.3078293101905]","[116.46070046634316, 44.57542869582778, 4.145490291355801, 3.9182888157948303]",3817967.350995669
4,68000,"[250.69518089867404, 125, 75, 81.50732107076587]","[116.95976045361756, 44.7721082203601, 4.145490291355801, 3.9446123925877985]",3633471.8192056213
5,65000,"[250.69518089867404, 125, 75, 81.50732107076587]","[116.95976045361756, 44.7721082203601, 4.145490291355801, 3.9446123925877985]",3633471.8192056213
6,62000,"[246.63941755294042, 124.5102479386674, 75, 79.09105505900568]","[117.57011065631676, 45.06500186177852, 4.145490291355801, 3.9804992670597583]",3503583.7352128164
