,heave,x_double_dot,y_double_dot,yaw_acceleration,roll,pitch,front_left_tire_slip_ratio,front_right_tire_slip_ratio,rear_left_tire_slip_ratio,rear_right_tire_slip_ratio,s_dot,body_slip,steered_angle,torque_request,is_left_diff_bias
0,0.024692796132719207,-2.570768122853771,0.5857414891528064,32.17248673323366,0.0010861537302711902,0.010799067296340238,-1.8066245727468355e-51,-3.391639498964329e-51,3.57041398727341e-55,2.0262470524460492e-54,3.0,-0.17453292519943295,-0.3141592653589793,0.0,True
1,0.024692796132719207,-2.570768122853771,0.5857414891528064,32.17248673323366,0.0010861537302711902,0.010799067296340238,-1.8066245727468355e-51,-3.391639498964329e-51,3.57041398727341e-55,2.0262470524460492e-54,3.0,-0.17453292519943295,-0.3141592653589793,0.0,False
2,0.024130132625246558,-0.25980021125636893,1.5474681041434568,36.980925993763094,0.0028504678299042774,0.007668797995324324,1.9433287573704417e-58,9.091117777040544e-68,0.10859588493698262,0.03143754063762675,3.0,-0.17453292519943295,-0.3141592653589793,0.20000000000000018,True
3,0.02413558027648453,-0.2840340249101118,1.6309182925799066,35.24011574258765,0.0030037390222170082,0.007701820890099444,1.53514931064447e-67,-5.343823632792726e-58,0.052155703030579335,0.060812658602553915,3.0,-0.17453292519943295,-0.3141592653589793,0.20000000000000018,False
4,0.022775171342282834,5.162026287421549,2.3830416114890776,34.257225221802415,0.004372013033315228,0.0003153057020771401,4.36868629123816e-17,2.566869405032806e-19,0.9968367525617496,0.14066896034100698,3.0,-0.17453292519943295,-0.3141592653589793,0.6000000000000001,True
5,0.023488255999729292,2.323069463355094,2.4080563061036373,34.02079772846193,0.004424271637668035,0.004168298048425041,-1.9482109860262622e-19,2.621694002269903e-21,0.1997621400016875,0.16678628138630278,3.0,-0.17453292519943295,-0.3141592653589793,0.40000000000000013,False
6,0.025383543600701265,-5.481142955798594,0.20910682604604314,23.10121475348722,0.00039440948092517617,0.014741100382473284,-0.02452362656218757,-0.021798947224920696,-0.012641941086227158,-0.011523734071107919,3.0,-0.17453292519943295,-0.3141592653589793,-0.19999999999999996,True
7,0.025383543600701265,-5.481142955798594,0.20910682604604314,23.10121475348722,0.00039440948092517617,0.014741100382473284,-0.02452362656218757,-0.021798947224920696,-0.012641941086227158,-0.011523734071107919,3.0,-0.17453292519943295,-0.3141592653589793,-0.19999999999999996,False
8,0.0251250899405475,-2.6684219762324894,0.6517147193202598,32.44196983649875,0.0012305104221498023,0.01103002703028681,2.026221066328339e-52,3.7998528924072056e-52,-1.0367457654901599e-55,-4.892734108923028e-55,5.7,-0.17453292519943295,-0.3141592653589793,0.0,True
9,0.0251250899405475,-2.6684219762324894,0.6517147193202598,32.44196983649875,0.0012305104221498023,0.01103002703028681,2.026221066328339e-52,3.7998528924072056e-52,-1.0367457654901599e-55,-4.892734108923028e-55,5.7,-0.17453292519943295,-0.3141592653589793,0.0,False
10,0.02591494084427395,-6.010811882686646,-0.6593326588020701,26.83175532247074,-0.001180796352515991,0.015571336132399041,-0.024914336866179252,-0.024800139297264896,-0.01271874421774983,-0.013581906482716719,5.7,-0.17453292519943295,-0.3141592653589793,-0.19999999999999996,True
11,0.02591494084427395,-6.010811882686646,-0.6593326588020701,26.83175532247074,-0.001180796352515991,0.015571336132399041,-0.024914336866179252,-0.024800139297264896,-0.01271874421774983,-0.013581906482716719,5.7,-0.17453292519943295,-0.3141592653589793,-0.19999999999999996,False
12,0.023824167565958326,2.584503478358818,2.958118036930963,35.135754705457614,0.005451612813243682,0.0038972973447581093,7.074038142856133e-14,-3.099885905109685e-13,0.25499166479902163,0.050459682833062125,5.7,-0.17453292519943295,-0.3141592653589793,0.40000000000000013,True
13,0.023121466315299224,5.368211310564039,3.1800017383870647,32.568452695987546,0.005849770167022181,0.00010889624858653627,-2.368726228050215e-10,-4.325355166528231e-11,0.6580123977738676,0.08144219814268415,5.7,-0.17453292519943295,-0.3141592653589793,0.6000000000000001,True
14,0.024503159995478002,-0.14309982419040299,2.30824440544877,33.96241966921116,0.004267600751239644,0.007604108038528221,-1.5119200515101102e-26,9.737068860399404e-19,0.038322894951289606,0.04454105227023544,5.7,-0.17453292519943295,-0.3141592653589793,0.20000000000000018,False
15,0.022403495906908558,8.01509089933339,5.19695064189099,27.70898793100572,0.00952904134593018,-0.0034662841274444214,-2.3795614650167233e-10,-8.93156100019447e-12,0.4341669357623588,0.23207951014441905,5.7,-0.17453292519943295,-0.3141592653589793,0.8,False
16,0.023133669425681444,5.250786649704592,4.4337316240326015,30.737574866573386,0.008144175170125906,0.00027575189870174987,8.778179809596406e-11,1.658189718816071e-10,0.2446733451433632,0.16695748022948434,5.7,-0.17453292519943295,-0.3141592653589793,0.6000000000000001,False
17,0.02383325058484547,2.5168815811999536,3.579218440665418,33.24063436674221,0.006589790376898955,0.003992651712781831,1.812299508864785e-11,-1.943439682663233e-11,0.11739358272848827,0.10060997334224177,5.7,-0.17453292519943295,-0.3141592653589793,0.40000000000000013,False
18,0.025839162096667295,-2.884313132638895,0.6466502799292947,33.34998917282869,0.0012585655670622213,0.011485832112115579,3.606894694065991e-52,7.019072139149957e-52,-1.7506870343573273e-55,-8.19467654782421e-55,8.4,-0.17453292519943295,-0.3141592653589793,0.0,True
19,0.025839162096667295,-2.884313132638895,0.6466502799292947,33.34998917282869,0.0012585655670622213,0.011485832112115579,3.606894694065991e-52,7.019072139149957e-52,-1.7506870343573273e-55,-8.19467654782421e-55,8.4,-0.17453292519943295,-0.3141592653589793,0.0,False
