,power_limit,points,times,endurance_battery_capacity
0,71000,"[234.75388036755572, 116.47967066164915, 75, 87.24341843642266]","[119.39601774239617, 46.03442423942719, 4.145036840211286, 3.8619558637736997]",3323144.4381682975
1,68000,"[233.1229455824627, 115.71824486785378, 75, 86.45682591775812]","[119.65100347035299, 46.12850999847205, 4.145036840211286, 3.873085043561174]",3291786.9180317307
2,65000,"[230.30360561343016, 113.7697995304865, 75, 84.38083837483474]","[120.09436654414515, 46.37103056091762, 4.145036840211286, 3.9027677496224635]",3263488.8185848324
3,62000,"[230.04323076824778, 113.56086890856596, 75, 84.35042198454782]","[120.1354783006434, 46.397187364116874, 4.145036840211286, 3.9032060288254344]",3232187.1258636387
