,mesh_size,points,times,endurance_battery_capacity
0,3,"[110.0547126318028, 92.34527120344586, 75, 4.5]","[142.6372687538232, 54.68468309696242, 4.633112906415719, 6.9029839707670595]",2693864.654215115
1,5,"[199.8214762557833, 125, 75, 69.70296847961548]","[125.10647927042388, 48.97378587592621, 4.149794528458341, 4.477489104858952]",3089608.0612776354
2,7,"[223.51276166497934, 125, 75, 100]","[121.17588937657949, 46.934623960455504, 4.146451092637999, 3.9500424416983435]",3403698.1744181146
3,9,"[227.15763037090164, 125, 75, 100]","[120.59299044423352, 46.465796931096484, 4.145157117330477, 3.9680033812995137]",3353329.8262667092
4,11,"[229.79067835250308, 125, 75, 100]","[120.17538183920047, 46.028659172014656, 4.146525860466944, 3.9376801676350093]",3645477.697697405
5,13,"[256.36500377401904, 125, 75, 100]","[116.11705642529762, 44.25603580487573, 4.145490291355801, 3.8982431769444914]",3880936.9483197927
6,15,"[236.80360033760834, 125, 75, 100]","[119.07709484946932, 45.74643858854304, 4.141712929584704, 3.8855137331361385]",3861936.2475263826
7,17,"[237.2066548822393, 125, 75, 100]","[119.01458257211569, 45.77418422385098, 4.145089857948164, 3.8787391679482317]",3926570.3796281996
