,x,y,z,t,curvature,dist,pos,delta_t,delta_vel,vel,ay,ax,time
515,193.47926187304705,-0.6962909504876935,0.0,26.850000000000023,0.0478640644308122,0.5695998366599485,486.1701383557024,0.6283643547592992,0.0,0.9064801851755881,1.75,-0.0,809.1377880025311
516,193.56736010811247,-1.253070997372826,0.0,26.900000000000023,0.0523683750255378,0.5637067674164039,486.73384512311884,0.5945182237429751,0.0,0.9481740759222013,1.75,-0.0,809.7323062262741
517,193.63823537197985,-1.8056754120112768,0.0,26.950000000000024,0.0574137786177204,0.5571309918737023,487.29097611499253,0.5611716526200655,0.0,0.9927995993249166,1.75,-0.0,810.2934778788941
518,193.6908199455,-2.3531263580002157,0.0,27.00000000000002,0.0630536743172812,0.5499706134299193,487.84094672842247,0.5286043793406663,0.0,1.0404200852741767,1.75,-0.0,810.8220822582348
519,193.7243126051412,-2.894551399047044,0.0,27.050000000000026,0.0638002393002282,0.5424599831530432,488.3834067115755,0.5183260358447298,0.0,1.0465613255737418,1.75,-0.0,811.3404082940796
520,193.73897810984025,-3.429499699299501,0.0,27.100000000000023,0.0644862949863217,0.5351492884897358,488.9185560000652,0.5086132987552964,0.0,1.0521732125356917,1.75,-0.0,811.8490215928349
521,193.7353477141513,-3.957625823015476,0.0,27.150000000000023,0.0651198236422676,0.5281386014334872,489.44669460149873,0.49950262531509426,0.0,1.0573289802037156,1.75,-0.0,812.34852421815
522,193.7139526726285,-4.478584334452857,0.0,27.200000000000024,0.0657100408562657,0.5213976586453127,489.96809226014403,0.4909075144143995,0.0,1.062109752520869,1.75,-0.0,812.8394317325644
523,193.67532423982595,-4.992029797869536,0.0,27.250000000000025,0.0662672796672619,0.5148964941849467,490.48298875432897,0.4827439452490515,0.0,1.0666037332054106,1.75,-0.0,813.3221756778134
524,193.6199936702976,-5.4976167775233655,0.0,27.300000000000026,0.0668028764357096,0.5086056094065566,490.99159436373554,0.4749304730330489,0.0,1.0709054025496578,1.75,-0.0,813.7971061508465
525,193.5484922185978,-5.994999837672308,0.0,27.350000000000023,0.0673290653421668,0.5024961354262379,491.49409049916176,0.46738837379452114,0.0,1.0751147516714896,1.75,-0.0,814.264494524641
526,193.4613511392804,-6.483833542574215,0.0,27.400000000000023,0.0678588875961978,0.4965399870632034,491.990630486225,0.46004184078374305,0.0,1.079336579945165,1.75,-0.0,814.7245363654248
527,193.35910168689963,-6.963772456486976,0.0,27.450000000000024,0.0684061204643707,0.490710007641913,492.48134049386687,0.4528182340834633,0.0,1.0836798757345658,1.75,-0.0,815.1773545995082
528,193.2422751160096,-7.434471143668483,0.0,27.500000000000025,0.0689852301763184,0.484980104520089,492.966320598387,0.44564838385845446,0.0,1.088257294508953,1.75,-0.0,815.6230029833667
529,193.1114026811644,-7.895584168376591,0.0,27.550000000000026,0.0696113517200901,0.4793253756664384,493.44564597405343,0.4384669462973079,0.0,1.093184742234654,1.75,-0.0,816.0614699296641
530,192.9670156369181,-8.346766094869258,0.0,27.600000000000023,0.0703002975483238,0.4737222280406751,493.9193682020941,0.4312128096714349,0.0,1.0985810658120998,1.75,-0.0,816.4926827393356
531,192.80964523782472,-8.787671487404337,0.0,27.650000000000023,0.071068596314799,0.46814848891918637,494.38751669101333,0.42382954605976986,0.0,1.104567846369933,1.75,-0.0,816.9165122853954
532,192.6398227384385,-9.217954910239715,0.0,27.700000000000024,0.0719335619480481,0.46258351166541783,494.85010020267873,0.4162659021803695,0.0,1.1112692854313557,1.75,-0.0,817.3327781875757
533,192.45807939331348,-9.63727092763329,0.0,27.750000000000025,0.0729133926170971,0.4570082777587774,495.30710848043753,0.408476320459077,0.0,1.1188121682186043,1.75,-0.0,817.7412545080348
534,192.26494645700376,-10.045274103842948,0.0,27.800000000000026,0.0740272983962564,0.4514054971805111,495.75851397761807,0.40042147901699027,0.0,1.1273258824393821,1.75,-0.0,818.1416759870518
535,192.06095518406343,-10.441619003126547,0.0,27.850000000000023,0.0752956556015165,0.44575970951168553,496.2042736871297,0.3920688367597899,0.0,1.1369424644805184,1.75,-0.0,818.5337448238116
536,191.84663682904664,-10.825960189742036,0.0,27.900000000000023,0.0767401847252507,0.4400573883325934,496.64433107546233,0.3833931673255838,0.0,1.1477966375934117,1.75,-0.0,818.9171379911372
537,191.6225226465074,-11.197952227947278,0.0,27.950000000000024,0.0783841474711517,0.4342870517334378,497.0786181271958,0.3743770634523369,0.0,1.1600257978644255,1.75,-0.0,819.2915150545896
538,191.3891438909999,-11.55724968200016,0.0,28.000000000000025,0.0802525563683691,0.4284393819563276,497.5070575091521,0.36501139154421836,0.0,1.1737698928895632,1.75,-0.0,819.6565264461339
