,mass,points,endurance_time
0,360.048,"[227.27215065631918, 125, 75, 100]",119.19284799457917
1,460.048,"[227.27215065631918, 125, 75, 100]",119.19284799457917
2,560.048,"[227.27215065631918, 125, 75, 100]",119.19284799457917
